datetime,P
28/4/2018 6:33,-1.0296117
28/4/2018 6:36,-1.1260021
28/4/2018 6:39,-1.1133833
28/4/2018 6:42,-1.1265137
28/4/2018 6:45,-1.1247313
28/4/2018 6:48,-1.1023127
28/4/2018 6:51,-1.1068513
28/4/2018 6:54,-1.0173117
28/4/2018 6:57,-1.088293
28/4/2018 7:00,-1.0970621
28/4/2018 7:03,-1.0980963
28/4/2018 7:06,-1.1253358
28/4/2018 7:09,-1.093264
28/4/2018 7:12,-1.042576
28/4/2018 7:15,-1.0518643
28/4/2018 7:18,-1.0219388
28/4/2018 7:21,-1.0029534
28/4/2018 7:24,-0.9924305
28/4/2018 7:27,-0.9760547
28/4/2018 7:30,-0.96463996
28/4/2018 7:33,-0.872625
28/4/2018 7:36,-0.9208638
28/4/2018 7:39,-0.98774105
28/4/2018 7:42,-1.0337366
28/4/2018 7:45,-1.0361602
28/4/2018 7:48,-0.9566242
28/4/2018 7:51,-1.0474643
28/4/2018 7:54,-1.0854275
28/4/2018 7:57,-1.0720513
28/4/2018 8:00,-1.0886592
28/4/2018 8:03,-1.0856489
28/4/2018 8:06,-1.0807427
28/4/2018 8:09,-1.060663
28/4/2018 8:12,-1.0700922
28/4/2018 8:15,-1.0939459
28/4/2018 8:18,-1.1343212
28/4/2018 8:21,-1.0582886
28/4/2018 8:24,-1.1362014
28/4/2018 8:27,-1.1319516
28/4/2018 8:30,-1.1070464
28/4/2018 8:33,-1.1248944
28/4/2018 8:36,-1.1644759
28/4/2018 8:39,-1.097456
28/4/2018 8:42,-1.0689405
28/4/2018 8:45,-1.0492331
28/4/2018 8:48,-1.0789917
28/4/2018 8:51,-1.0799661
28/4/2018 8:54,-1.1108878
28/4/2018 8:57,-1.113991
28/4/2018 9:00,-1.1314144
28/4/2018 9:03,-1.159606
28/4/2018 9:06,-1.0889001
28/4/2018 9:09,-1.1960347
28/4/2018 9:12,-1.1981893
28/4/2018 9:15,-1.2008433
28/4/2018 9:18,-1.2025224
28/4/2018 9:21,-1.1071706
28/4/2018 9:24,-1.1999526
28/4/2018 9:27,-1.2013687
28/4/2018 9:30,-1.1369581
28/4/2018 9:33,-1.18844
